****************Para N=2^20****************
Test 1;7
Test 2;5
Test 3;5
Test 4;6
Test 5;7
Test 6;9
Test 7;8
Test 8;6
Test 9;6
Test 10;5
****************Para N=2^21****************
Test 1;14
Test 2;14
Test 3;14
Test 4;12
Test 5;12
Test 6;14
Test 7;19
Test 8;22
Test 9;23
Test 10;19
****************Para N=2^22****************
Test 1;44
Test 2;43
Test 3;42
Test 4;44
Test 5;41
Test 6;40
Test 7;43
Test 8;46
Test 9;41
Test 10;43
****************Para N=2^23****************
Test 1;104
Test 2;119
Test 3;97
Test 4;101
Test 5;113
Test 6;107
Test 7;114
Test 8;122
Test 9;122
Test 10;118
****************Para N=2^24****************
Test 1;223
Test 2;216
Test 3;246
Test 4;272
Test 5;381
Test 6;361
Test 7;374
Test 8;353
Test 9;390
Test 10;312
****************Para N=2^25****************
Test 1;863
Test 2;535
Test 3;528
Test 4;566
Test 5;520
Test 6;640
Test 7;496
Test 8;495
Test 9;529
Test 10;491
****************Para N=2^26****************
Test 1;1072
Test 2;1038
Test 3;1000
Test 4;989
Test 5;1069
Test 6;1003
Test 7;1002
Test 8;1060
Test 9;1066
Test 10;1008
****************Para N=2^27****************
Test 1;2189
Test 2;2076
Test 3;2193
Test 4;2075
Test 5;2104
Test 6;2186
Test 7;2112
Test 8;2178
Test 9;2178
Test 10;2069
****************Para N=2^28****************
Test 1;4432
Test 2;3048
Test 3;3028
Test 4;3052
Test 5;3005
Test 6;3079
Test 7;3009
Test 8;3105
Test 9;3193
Test 10;3078
****************Para N=2^29****************
Test 1;6130
Test 2;6213
Test 3;6154
Test 4;6217
Test 5;6292
Test 6;6433
Test 7;6396
Test 8;6476
Test 9;6422
Test 10;6343
****************Para N=2^30****************
Test 1;15321
Test 2;15818
Test 3;15273
Test 4;15896
Test 5;15300
Test 6;29505
Test 7;18188
Test 8;18624
Test 9;18519
Test 10;18509
