****************Para N=2^20****************
Test 1;4
Test 2;3
Test 3;3
Test 4;3
Test 5;3
Test 6;3
Test 7;3
Test 8;3
Test 9;3
Test 10;3
****************Para N=2^21****************
Test 1;7
Test 2;8
Test 3;6
Test 4;8
Test 5;9
Test 6;7
Test 7;9
Test 8;7
Test 9;7
Test 10;7
****************Para N=2^22****************
Test 1;25
Test 2;24
Test 3;27
Test 4;29
Test 5;32
Test 6;29
Test 7;28
Test 8;25
Test 9;28
Test 10;33
****************Para N=2^23****************
Test 1;101
Test 2;93
Test 3;86
Test 4;88
Test 5;101
Test 6;123
Test 7;125
Test 8;90
Test 9;87
Test 10;93
****************Para N=2^24****************
Test 1;215
Test 2;216
Test 3;207
Test 4;245
Test 5;244
Test 6;228
Test 7;259
Test 8;276
Test 9;220
Test 10;240
****************Para N=2^25****************
Test 1;462
Test 2;482
Test 3;510
Test 4;488
Test 5;510
Test 6;513
Test 7;493
Test 8;448
Test 9;530
Test 10;473
****************Para N=2^26****************
Test 1;1199
Test 2;956
Test 3;929
Test 4;932
Test 5;1043
Test 6;995
Test 7;990
Test 8;1054
Test 9;1101
Test 10;1078
****************Para N=2^27****************
Test 1;1960
Test 2;1823
