****************Para N=2^20****************
Test 1;303
Test 2;308
Test 3;290
Test 4;295
Test 5;354
Test 6;293
Test 7;304
Test 8;286
Test 9;284
Test 10;294
****************Para N=2^21****************
****************Para N=2^20****************
Test 1;267
Test 2;242
****************Para N=2^21****************
Test 1;488
Test 2;493
****************Para N=2^22****************
Test 1;1004
Test 2;1052
****************Para N=2^20****************
Test 1;258
Test 2;239
****************Para N=2^21****************
Test 1;546
Test 2;574
****************Para N=2^22****************
Test 1;1020
Test 2;983
****************Para N=2^20****************
Test 1;270
Test 2;244
****************Para N=2^21****************
Test 1;485
Test 2;496
****************Para N=2^22****************
Test 1;989
Test 2;982
****************Para N=2^20****************
Test 1;261
Test 2;249
****************Para N=2^21****************
Test 1;514
Test 2;549
****************Para N=2^22****************
Test 1;1010
Test 2;999
****************Para N=2^20****************
Test 1;255
Test 2;241
****************Para N=2^21****************
Test 1;596
Test 2;605
****************Para N=2^22****************
Test 1;1058
Test 2;992
****************Para N=2^20****************
Test 1;281
Test 2;260
****************Para N=2^21****************
Test 1;554
Test 2;603
****************Para N=2^22****************
Test 1;1017
Test 2;987
****************Para N=2^20****************
Test 1;249
Test 2;213
****************Para N=2^21****************
Test 1;452
Test 2;482
****************Para N=2^22****************
Test 1;838
Test 2;874
****************Para N=2^20****************
Test 1;230
Test 2;212
****************Para N=2^21****************
Test 1;401
Test 2;389
****************Para N=2^22****************
Test 1;870
Test 2;806
****************Para N=2^20****************
Test 1;247
Test 2;215
****************Para N=2^21****************
Test 1;417
Test 2;443
****************Para N=2^22****************
Test 1;838
Test 2;825
****************Para N=2^28****************
Test 1;67670
Test 2;86693
Test 3;104910
Test 4;98916
Test 5;98837
Test 6;104854
Test 7;102844
Test 8;105001
Test 9;104570
Test 10;99246
****************Para N=2^29****************
Test 1;1399411
****************Para N=2^30****************
